Month,Stage,Opening Balance,Tuition & Fees,Living Expenses,Summer Earnings,Stipend / Reimbursement,Electives / Travel,CaRMS Fees,Exam / LMCC / Licensing,Residency / College Fee,Residency Repayment,Interest Added,Closing Balance
2032-02,MD Year 2,212503.02,0.0,3500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,759.02,216762.04
2032-03,MD Year 2,216762.04,0.0,3500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,828.0,221090.04
2032-04,MD Year 2,221090.04,0.0,3500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,816.91,225406.95
2032-05,MD Year 2,225406.95,0.0,3500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,860.74,229767.69
2032-06,MD Year 2,229767.69,0.0,3500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,848.7,234116.39
2032-07,MD Year 2,234116.39,0.0,3500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,893.71,238510.11
2032-08,MD Year 2,238510.11,0.0,3500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,910.35,242920.45
2032-09,MD Year 3,242920.45,24183.62,3500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,985.5,271589.58
2032-10,MD Year 3,271589.58,0.0,3500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1035.6,276125.18
2032-11,MD Year 3,276125.18,0.0,3500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1018.56,280643.74
2032-12,MD Year 3,280643.74,0.0,3500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1069.88,285213.62
2033-01,MD Year 3,285213.62,0.0,3500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1087.19,289800.81
2033-02,MD Year 3,289800.81,0.0,3500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,996.9,294297.71
2033-03,MD Year 3,294297.71,0.0,3500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1121.58,298919.29
2033-04,MD Year 3,298919.29,0.0,3500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1102.08,303521.37
2033-05,MD Year 3,303521.37,0.0,3500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1156.51,308177.87
2033-06,MD Year 3,308177.87,0.0,3500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1136.0,312813.87
2033-07,MD Year 3,312813.87,0.0,3500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1191.69,317505.56
2033-08,MD Year 3,317505.56,0.0,3500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1209.46,322215.02
2033-09,MD Year 4,322215.02,24183.62,3500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1276.04,351174.68
2033-10,MD Year 4,351174.68,0.0,3500.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,1339.01,357013.69
2033-11,MD Year 4,357013.69,0.0,3500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1314.93,361828.63
2033-12,MD Year 4,361828.63,0.0,3500.0,0.0,0.0,750.0,0.0,0.0,0.0,0.0,1378.83,367457.46
2034-01,MD Year 4,367457.46,0.0,3500.0,0.0,0.0,0.0,561.44,0.0,0.0,0.0,1399.76,372918.66
2034-02,MD Year 4,372918.66,0.0,3500.0,0.0,0.0,750.0,0.0,0.0,0.0,0.0,1282.39,378451.05
2034-03,MD Year 4,378451.05,0.0,3500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1440.22,383391.27
2034-04,MD Year 4,383391.27,0.0,3500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1411.58,388302.85
2034-05,MD Year 4,388302.85,0.0,3500.0,0.0,0.0,0.0,0.0,1765.0,0.0,0.0,1481.18,395049.03
2034-06,MD Year 4,395049.03,0.0,3500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1454.3,400003.33
2034-07,Residency PGY1,400003.33,0.0,3500.0,0.0,0.0,0.0,0.0,0.0,0.0,-531.27,1521.56,404493.62
2034-08,Residency PGY1,404493.62,0.0,3500.0,0.0,0.0,0.0,0.0,0.0,0.0,-531.27,1538.57,409000.91
2034-09,Residency PGY1,409000.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,945.0,-531.27,1501.85,410916.5
2034-10,Residency PGY1,410916.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-531.27,1555.62,411940.85
2034-11,Residency PGY1,411940.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-531.27,1509.16,412918.74
2034-12,Residency PGY1,412918.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-531.27,1563.2,413950.67
2035-01,Residency PGY1,413950.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-531.27,1567.11,414986.52
2035-02,Residency PGY1,414986.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-531.27,1418.91,415874.15
